,Suburb_id,Suburb,Postcode,LGA,City,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,Abbotsbury,2176,City of Fairfield,Sydney,-33.875,150.862,,,,
1,1,Abbotsford,2046,City of Canada Bay,Sydney,-33.85215,151.12726,The Cove Dining Co,-33.85093349750487,151.12901507835977,Café
2,1,Abbotsford,2046,City of Canada Bay,Sydney,-33.85215,151.12726,The Cove Dining Co,-33.85095,151.12911,Café
3,1,Abbotsford,2046,City of Canada Bay,Sydney,-33.85215,151.12726,Henry Lawson Park,-33.85034998485688,151.12589532464892,Park
4,1,Abbotsford,2046,City of Canada Bay,Sydney,-33.85215,151.12726,Sistina Ristorante & Pizzeria,-33.848149427380505,151.12830734541558,Pizza Place
5,1,Abbotsford,2046,City of Canada Bay,Sydney,-33.85215,151.12726,Anime Abbotsford,-33.85541,151.13065,Gift Shop
6,1,Abbotsford,2046,City of Canada Bay,Sydney,-33.85215,151.12726,Lock Stock And Bottle,-33.84786,151.12797,Wine Shop
7,1,Abbotsford,2046,City of Canada Bay,Sydney,-33.85215,151.12726,Doughboy Pizza,-33.855725586758076,151.13049753795806,Pizza Place
8,2,Acacia Gardens,2763,City of Blacktown,Sydney,-33.7322,150.917,Waite Reserve,-33.73328495341111,150.91801657038823,Park
9,2,Acacia Gardens,2763,City of Blacktown,Sydney,-33.7322,150.917,BB House Kitchen,-33.730467,150.917746,BBQ Joint
10,3,Agnes Banks,2753,"City of Hawkesbury, City of Penrith",Sydney,-33.61529,150.71616,,,,
11,4,Airds,2560,City of Campbelltown ,Sydney,-34.0916,150.8249,airds take away,-34.09473343402498,150.82441642889242,Fish & Chips Shop
12,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,Pino’s Vino e Cucina,-33.90548,151.19095,Italian Restaurant
13,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,The Copper Mill,-33.906068343692205,151.1884257087766,Café
14,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,Blackbird & Co,-33.90661153221235,151.18786139313968,Café
15,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,The Grounds Of Alexandria,-33.91077412580883,151.194405534518,Café
16,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,La Cachette,-33.904849335877465,151.18972655064954,Café
17,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,Alexandria Basketball Stadium,-33.90835836037352,151.19557794378534,Basketball Court
18,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,The Grounds Coffee Roastery,-33.91073344478825,151.19429426643546,Australian Restaurant
19,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,Crave,-33.906773216074434,151.19247273005746,Café
20,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,Red Bottle,-33.9065954,151.18763,Liquor Store
21,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,Cavelli's  Pizzeria,-33.90548,151.19095,Pizza Place
22,5,Alexandria,2015,City of Sydney,Sydney,-33.9080273,151.1902576,Sydney Park Convenience Store,-33.906387782947554,151.18725977517002,Grocery Store
23,6,Alfords Point,2234,Sutherland Shire,Sydney,-33.9848,151.02142,Staceys Alfords Point Corner Shop,-33.985440465341284,151.02507325537684,Fried Chicken Joint
24,7,Allambie Heights,2100,Northern Beaches Council,Sydney,-33.7624,151.25,IGA Allambie Heights,-33.76553257260216,151.25029168996923,Grocery Store
25,7,Allambie Heights,2100,Northern Beaches Council,Sydney,-33.7624,151.25,Allambie Oval,-33.76516979779701,151.24967284389558,Park
26,7,Allambie Heights,2100,Northern Beaches Council,Sydney,-33.7624,151.25,Bakers Delight,-33.765515,151.250257,Bakery
27,7,Allambie Heights,2100,Northern Beaches Council,Sydney,-33.7624,151.25,Liquorland,-33.76571482238181,151.25068053372118,Liquor Store
28,7,Allambie Heights,2100,Northern Beaches Council,Sydney,-33.7624,151.25,Allambie Heights Shops,-33.765989,151.250752,Café
29,8,Allawah,2218,Georges River Council,Sydney,-33.9749,151.1167,Pablos Sound Booth,-33.976498,151.114827,Music Venue
30,8,Allawah,2218,Georges River Council,Sydney,-33.9749,151.1167,Woids Park,-33.97375760555737,151.1133181488429,Park
31,8,Allawah,2218,Georges River Council,Sydney,-33.9749,151.1167,Pilates Pointe,-33.97888,151.1169,Pilates Studio
32,9,Ambarvale,2560,City of Campbelltown ,Sydney,-34.08333,150.80067,Aldi,-34.08511212225691,150.80143560462832,Supermarket
33,9,Ambarvale,2560,City of Campbelltown ,Sydney,-34.08333,150.80067,Bus Stop 2560492 (Thomas Reddal HS),-34.08236,150.803127,Bus Stop
34,9,Ambarvale,2560,City of Campbelltown ,Sydney,-34.08333,150.80067,Ambarvale Recreation Centre,-34.0865560095581,150.798095112885,Gym / Fitness Center
35,10,Annandale,2038,Inner West Council,Sydney,-33.882406200000005,151.17236450000001,Fat Fish,-33.88136977345241,151.17077466124925,Fish & Chips Shop
36,10,Annandale,2038,Inner West Council,Sydney,-33.882406200000005,151.17236450000001,Bar Sirocco Cafe,-33.88172568264278,151.17154995988068,Café
37,10,Annandale,2038,Inner West Council,Sydney,-33.882406200000005,151.17236450000001,Clover Cafe,-33.88129,151.16986,Café
